epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,163.435,0.79049,1.2094,0.58339,0.93568,0.61464,0.69283,0.68974,0.49229,0.61464,0.69283,0.69871,0.46135,1.11506,2.08359,1.13927,1.14391,0.000953,0.000953,0.000953
50,166.502,0.79438,1.18637,0.57557,0.92056,0.80975,0.61393,0.59748,0.44245,0.81107,0.61578,0.60584,0.40216,1.16738,2.29357,1.36812,1.16364,0.000946812,0.000946812,0.000946812
51,169.557,0.74824,1.12776,0.55897,0.92946,0.57405,0.658,0.68842,0.4807,0.57452,0.66141,0.6783,0.47479,1.13473,2.20837,1.35452,1.15079,0.000940625,0.000940625,0.000940625
52,172.695,0.76209,1.12238,0.55396,0.91794,0.7193,0.69493,0.69524,0.50318,0.83859,0.7445,0.76707,0.49102,1.16378,2.03998,0.93879,1.16672,0.000934438,0.000934438,0.000934438
53,175.727,0.78517,1.12599,0.56142,0.92597,0.80067,0.78224,0.74569,0.48862,0.7622,0.72882,0.70039,0.47436,1.22492,1.98423,1.02054,1.20669,0.00092825,0.00092825,0.00092825
54,178.755,0.76053,1.12594,0.54853,0.92655,0.67342,0.70987,0.69531,0.51195,0.67342,0.70987,0.7027,0.46932,1.13943,1.93127,0.97089,1.15879,0.000922063,0.000922063,0.000922063
55,181.797,0.75373,1.13363,0.52758,0.91054,0.68737,0.76111,0.72101,0.53039,0.64596,0.71135,0.69801,0.50207,1.11486,1.82925,0.82872,1.139,0.000915875,0.000915875,0.000915875
56,184.913,0.71262,1.05965,0.50065,0.90575,0.71565,0.77355,0.76925,0.55083,0.65492,0.72386,0.70278,0.49644,1.02128,1.93805,0.81647,1.1053,0.000909688,0.000909688,0.000909688
57,188.24,0.73362,1.13329,0.53783,0.91826,0.73508,0.76323,0.74608,0.53637,0.73306,0.76138,0.74378,0.48214,1.04312,1.92567,0.86184,1.08891,0.0009035,0.0009035,0.0009035
58,191.311,0.73159,1.10959,0.52902,0.90843,0.68822,0.71391,0.70752,0.53288,0.68871,0.71456,0.70353,0.46864,1.08372,2.13538,0.91432,1.09893,0.000897313,0.000897313,0.000897313
59,194.377,0.75888,1.13973,0.54209,0.92147,0.57528,0.76506,0.7118,0.5289,0.57812,0.76876,0.71407,0.49408,1.03868,1.99804,0.95287,1.10543,0.000891125,0.000891125,0.000891125
60,197.519,0.75579,1.16942,0.52347,0.91579,0.79656,0.73267,0.75675,0.55766,0.79656,0.73267,0.75732,0.49803,1.00635,1.98948,0.88522,1.07898,0.000884938,0.000884938,0.000884938
