epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,170.461,0.69048,0.43791,0.87082,0.60855,0.79122,0.7332,0.55435,0.99668,0.85823,1.03045,0.000724062,0.000724062,0.000724062
87,172.258,0.67998,0.45023,0.86328,0.91097,0.63767,0.70042,0.5318,1.04421,0.88712,1.04045,0.000717875,0.000717875,0.000717875
88,174.136,0.68544,0.44548,0.87092,0.66158,0.83567,0.76339,0.53748,1.03207,0.97504,1.07176,0.000711687,0.000711687,0.000711687
89,176.023,0.69722,0.46385,0.87183,0.70104,0.80699,0.72384,0.51831,1.07764,0.95448,1.10899,0.0007055,0.0007055,0.0007055
90,177.845,0.70501,0.4674,0.87864,0.81866,0.76743,0.79385,0.57066,0.98303,0.89787,1.0567,0.000699312,0.000699312,0.000699312
91,179.601,0.67442,0.44759,0.86747,0.72542,0.76948,0.78242,0.57436,1.01946,0.87964,1.05815,0.000693125,0.000693125,0.000693125
92,181.394,0.66208,0.44157,0.87346,0.72505,0.81985,0.78836,0.57593,0.97822,0.85634,1.02501,0.000686937,0.000686937,0.000686937
93,183.209,0.64718,0.42268,0.86118,0.84936,0.74949,0.81411,0.58899,1.00482,0.84218,1.0299,0.00068075,0.00068075,0.00068075
94,185.06,0.642,0.42656,0.85917,0.84317,0.74015,0.79569,0.57979,0.9877,0.91478,1.02396,0.000674562,0.000674562,0.000674562
95,186.825,0.63796,0.41666,0.85606,0.62592,0.80271,0.73322,0.54127,1.02586,0.88964,1.02887,0.000668375,0.000668375,0.000668375
96,188.739,0.66227,0.42864,0.86601,0.60582,0.82676,0.72266,0.54284,0.99189,0.86481,1.03255,0.000662188,0.000662188,0.000662188
97,190.598,0.63612,0.4189,0.85618,0.61435,0.83776,0.73485,0.55461,0.99683,0.87232,1.03892,0.000656,0.000656,0.000656
98,192.435,0.63898,0.4191,0.85811,0.79061,0.74258,0.76206,0.55594,1.0382,0.97079,1.0533,0.000649813,0.000649813,0.000649813
99,194.193,0.62282,0.40326,0.84895,0.792,0.7566,0.76709,0.56572,1.05059,0.93834,1.0635,0.000643625,0.000643625,0.000643625
100,195.995,0.65125,0.42334,0.86147,0.83705,0.73564,0.79242,0.56571,1.02587,0.8495,1.07387,0.000637437,0.000637437,0.000637437
101,197.939,0.63318,0.41775,0.85944,0.83535,0.74239,0.77719,0.54674,1.04969,0.91263,1.08612,0.00063125,0.00063125,0.00063125
102,199.767,0.60858,0.40564,0.85015,0.80579,0.75097,0.7801,0.54765,1.01608,1.03643,1.07109,0.000625062,0.000625062,0.000625062
103,201.554,0.63198,0.40582,0.84909,0.77338,0.82698,0.7955,0.54328,1.04308,1.13007,1.08808,0.000618875,0.000618875,0.000618875
104,203.406,0.61887,0.40738,0.84681,0.81518,0.75652,0.79894,0.56665,1.05647,0.99754,1.07736,0.000612687,0.000612687,0.000612687
105,205.287,0.60021,0.38712,0.84084,0.82332,0.75282,0.80496,0.57443,0.9773,0.9523,1.04765,0.0006065,0.0006065,0.0006065
